ID do canal,URL do canal,Título do canal
UC13gar1iS-icxHq7wEQLPaQ,http://www.youtube.com/channel/UC13gar1iS-icxHq7wEQLPaQ,Gabuldev
UC5_gnhWxRRooqMcJSQTW40g,http://www.youtube.com/channel/UC5_gnhWxRRooqMcJSQTW40g,SacaRod
UC6F2RYeprl3slBUUxFS4_vw,http://www.youtube.com/channel/UC6F2RYeprl3slBUUxFS4_vw,Fernando Cesar
UC7Xog4-zhRQKbahvs27I7Ow,http://www.youtube.com/channel/UC7Xog4-zhRQKbahvs27I7Ow,Pinho
UC7kGu3LW99u3QZv8dy4H_wQ,http://www.youtube.com/channel/UC7kGu3LW99u3QZv8dy4H_wQ,Criatividade com Inteligência Artificial
UC9kj91Tkq6bGfDvmRmWwv1g,http://www.youtube.com/channel/UC9kj91Tkq6bGfDvmRmWwv1g,Iago Almeida
UCBqoA_hedJJaOBhsVLy1GAg,http://www.youtube.com/channel/UCBqoA_hedJJaOBhsVLy1GAg,Gabriel de Pinho
UCCRIzEbBjaP5aPwFdeECJEw,http://www.youtube.com/channel/UCCRIzEbBjaP5aPwFdeECJEw,Jefe Vilanova
UCCbD39MVnMsTLGxsHLnOKlg,http://www.youtube.com/channel/UCCbD39MVnMsTLGxsHLnOKlg,Loop Infinito
UCCwvFzzV9wppkmYVfAPGL0Q,http://www.youtube.com/channel/UCCwvFzzV9wppkmYVfAPGL0Q, Marcelo Ferraz • Falando Final Cut
UCCzzlxpa0obHj5B6U8U1ykQ,http://www.youtube.com/channel/UCCzzlxpa0obHj5B6U8U1ykQ,Ripper Edits
UCDMu1fFm5awV308m6IkJIuQ,http://www.youtube.com/channel/UCDMu1fFm5awV308m6IkJIuQ,Barba Sou Eu
UCDUzDzmNEIONR6mta87NOZQ,http://www.youtube.com/channel/UCDUzDzmNEIONR6mta87NOZQ,Marina Monteiro
UCDoiOyOiAHoktJzTRCJv1oA,http://www.youtube.com/channel/UCDoiOyOiAHoktJzTRCJv1oA,marchwill
UCEA-waklXbfnZw1ssb6rIVg,http://www.youtube.com/channel/UCEA-waklXbfnZw1ssb6rIVg,Felipe Ussinger
UCEgF6KhiOxSe-oRDUJba3Kg,http://www.youtube.com/channel/UCEgF6KhiOxSe-oRDUJba3Kg,Victor Abarca
UCEioUYm3I62pX6Zm-aca3Bg,http://www.youtube.com/channel/UCEioUYm3I62pX6Zm-aca3Bg,Rogiwara
UCH2VZQBLFTOp6I_qgnBJCuQ,http://www.youtube.com/channel/UCH2VZQBLFTOp6I_qgnBJCuQ,Canal Nostalgia
UCHNqcryrghUImm50rlJ8nJA,http://www.youtube.com/channel/UCHNqcryrghUImm50rlJ8nJA,Meu Computador
UCI4zRQ0nPLCdQVyAkV54d0Q,http://www.youtube.com/channel/UCI4zRQ0nPLCdQVyAkV54d0Q,Ricardo Rente
UCIhBhRpaWD3-n8YKZcEtR6Q,http://www.youtube.com/channel/UCIhBhRpaWD3-n8YKZcEtR6Q,Helio Arreche - VibeCoding
UCJXqM6og9miO-csmsoqH2Fg,http://www.youtube.com/channel/UCJXqM6og9miO-csmsoqH2Fg,Guilherme Justino
UCJzbvMlCsYFQ7DeQ7dK1w2w,http://www.youtube.com/channel/UCJzbvMlCsYFQ7DeQ7dK1w2w,Felipe Drumond 
UCLYimOsgmIVf6KNjzXPkUwQ,http://www.youtube.com/channel/UCLYimOsgmIVf6KNjzXPkUwQ,Gaveta
UCMz-wWNYqrx0nWsxf5oXn_A,http://www.youtube.com/channel/UCMz-wWNYqrx0nWsxf5oXn_A,Ale Mendonça
UCOZ2G2dibMHR8dFsNTSapng,http://www.youtube.com/channel/UCOZ2G2dibMHR8dFsNTSapng,Mais Um Pouco (por PH Santos)
UCQ-90Y_kBzzIK27lpMjqaJQ,http://www.youtube.com/channel/UCQ-90Y_kBzzIK27lpMjqaJQ,Megapixelers
UCQfNHz4Hx-7zlBuAe7k7s9Q,http://www.youtube.com/channel/UCQfNHz4Hx-7zlBuAe7k7s9Q,Saymon Avila
UCR38QSTR_KR5WUmPumxb87g,http://www.youtube.com/channel/UCR38QSTR_KR5WUmPumxb87g,Canal YouDubb
UCSTlOTcyUmzvhQi6F8lFi5w,http://www.youtube.com/channel/UCSTlOTcyUmzvhQi6F8lFi5w,Atila Iamarino
UCSlztq0sZJa5IM-anC7i3gA,http://www.youtube.com/channel/UCSlztq0sZJa5IM-anC7i3gA,CoffeeTech
UCSsFjDPmEviZwdAg-0t63KA,http://www.youtube.com/channel/UCSsFjDPmEviZwdAg-0t63KA,Daniel Marvel
UCUCo54asWhlLK-YrbQox-4Q,http://www.youtube.com/channel/UCUCo54asWhlLK-YrbQox-4Q,David Balista Edita!
UCVpHmGfbOyUoJXnAEQKFcWw,http://www.youtube.com/channel/UCVpHmGfbOyUoJXnAEQKFcWw,Léo Andrade
UCX_QHP0S4GnkSWvn7NIoGgw,http://www.youtube.com/channel/UCX_QHP0S4GnkSWvn7NIoGgw,Felps
UCYETxCTVSpVOc1TP5KP0pMg,http://www.youtube.com/channel/UCYETxCTVSpVOc1TP5KP0pMg,Andre Pilli
UCZSgdos4txBF1LtaAktpWGA,http://www.youtube.com/channel/UCZSgdos4txBF1LtaAktpWGA,Escola para Youtubers - Caique Pereira
UC_bXJnsgwOqEPA_-6N6faKw,http://www.youtube.com/channel/UC_bXJnsgwOqEPA_-6N6faKw,Canaltech
UCaSAM5kna2KyX-uVLSGr8PQ,http://www.youtube.com/channel/UCaSAM5kna2KyX-uVLSGr8PQ,omeleteve
UCdHR_M4vqK1rtKo56RMQ9tQ,http://www.youtube.com/channel/UCdHR_M4vqK1rtKo56RMQ9tQ,Mente Maker
UCdmGjywrxeOPfC7vDllmSgQ,http://www.youtube.com/channel/UCdmGjywrxeOPfC7vDllmSgQ,TecMundo
UCeWQ6x--xUeDVC6nv3pX9pA,http://www.youtube.com/channel/UCeWQ6x--xUeDVC6nv3pX9pA,O Cara do Review
UCfNGlrCFU2JcMgjM7xQHo6w,http://www.youtube.com/channel/UCfNGlrCFU2JcMgjM7xQHo6w,JhonySul
